url,app,org,desc_summary,desc
https://play.google.com/store/apps/details?id=kr.co.bnkbank.push.customer,BNK부산은행 푸시알림,부산은행,  실시간 입출금 거래내역 등 다양한 금융정보를 스마트폰의 알림(PUSH) 메시지를 통해 무료로! 제공해드립니다    ,"BNK부산은행 푸시 알림 서비스 소개1. 서비스 대상- 부산은행에 본인 핸드폰 번호가 등록된 고객- 스마트뱅킹에 가입하셔야 이용이 가능합니다2.서비스 신청- 지금 바로 푸시 알림앱에서 신청 가능합니다.3. 이용 수수료 : 무료4. 유의사항 - 부산은행에 등록된 휴대폰번호가 다를 경우 서비스가 제한되오니, 가까운 영업점을 방문하시거나 인터넷뱅킹>뱅킹관리>사용자정보조회/변경 메뉴에서 휴대폰번호를 변경하시기 바랍니다.- 푸시 알림은 고객님의 수신위치, 통신사 및 서버문제 등으로 메시지 발송 지연 또는 장애가 발생할 수 있습니다.- 삼성 스마트폰 스마트매니저 이용 고객은 메시지 미수신 시 베터리-상세정보-앱 절전 해제 바랍니다.- 설치가능 OS 버전 : Android 4.0이상5. 푸시 알림 주요 서비스가. 서비스 가입(개인/사업자) - 약관동의, 계좌인증, 휴대폰(사업자번호) 본인인증, 보안설정(PIN번호), 최종 가입설정나. 금융알림- 입출금내역, 부가기능(카카오톡/문자공유, 의심계좌신고, 메모 기능 등), - 이자납입일, 예적금 만기일, 지정환율알림, 외화송금 알림 등 각종 만기일 메시지다. 입출금알림- 계좌 잔액, 일일 입출금 총액, 자산통계 리포트, 입출금 검색라. 쿠폰함- 이벤트/쿠폰 목록, 상세설명, 쿠폰 사용안내마. 서비스 설정- 알림설정 : 계좌설정, 수신설정, 만기일 알림, 대출이자납일일 알림, 환율지정알림, 환율통지알림, 외화송금알림, 이벤트/쿠폰알림- 보안설정 : 화면잠금, PIN번호 변경, PIN번호 분실/발급- 데이터 관리 : 데이터 백업/복원- 정보 : 버전정보, 다운로드 안내바. 고객센터 - 공지/이벤트, 이용약관, 쿠폰함, 의심계좌신고, 고객센터 연결, 서비스 해지, 추천서비스[BNK부산은행 푸시 알림] 차별화된 서비스 특징 1. 입출금 내역도 스마트하게- 중요한 입출금 내역은 한번의 터치로 카카오톡/문자로 공유하고 나만의 메모까지- 은행최초! 의심계좌신고 서비스 제공(금융사기 지급정지 신청 연결 서비스)2. 직관적인 네비게이션 메인화면 구성- 심플한 탭 형식의 메인메뉴로 사용자 접근성 향상- 타임라인 형식의 카드 UI를 통해 실시간 금융정보 전달3. 입출금 출처를 바로 확인할 수 있는 직관적인 메타포 디자인- 금융거래의 안정감과 편안한 감성 디자인- 명확한 색상구분을 통한 입출금 정보 구분 전달4. 고객자산정보 요약 리포트 제공- 개인자산에 대한 기간별 입출금 모니터링, 잔액 확인- 이전기록과 비교하여 확인 가능한 자산현황 비교 서비스5. O2O(Online to Offline)쿠폰 마케팅 채널 구성- 다양한 이벤트 안내/쿠폰 제공을 통한 고객소통 채널 생성- 인터넷 및 은행창구에서 사용가능한 금융혜택 제공----개발자 연락처 :1588-6200"
https://play.google.com/store/apps/details?id=com.gomdorimobile.notimanager,"Noti Cleaner - 알림정리,푸시정리, 알림차단, 알림관리, 알림온, 알림On",Gomdori Mobile,"  Noti Cleaner, 알림, 노티, 알림정리, 알림On, 푸시정리, 알림차단, 알림관리    ",[알림정리(알림On) 주요 기능]▶ 알림정리(알림On)은 불필요한 알림들을 정리합니다.▶ 모든 푸시 알림을 수신하여 한곳에서 관리합니다.▶ 방해가 되는 광고성 알림 등이 폰에 뜨지 않게 해 줍니다.▶ 앱별로 알림수신함에 수신되도록 설정할 수 있습니다.[개인정보 처리방침]Site : https://blog.naver.com/man8408/221365426846
https://play.google.com/store/apps/details?id=com.tenqube.notisave,노티세이브 - 알림 저장 및 나중에 보기,TENQUBE Inc.,  불필요한 알림 자동 삭제 및 정리메시지 모아보기 미리보기    ,"불필요한 알림 자동 삭제 및 정리- 광고 등 불필요한 푸시 알림 자동 삭제- 앱별로 알림 삭제 여부 설정 알림 내역 저장 및 검색- 지나간 알림 내역 저장- 저장된 알림내역 검색앱 실행없이 메시지 내역 확인- 푸시 알림을 저장하여 앱 실행없이 빠르게 확인- 채팅 형태 화면 제공필요 권한 정보푸시 알림 저장 및 삭제를 위해 푸시 알림 접근 권한이 필요합니다.----개발자 연락처 :(04637) 서울시 중구 한강대로 416, 13층"
https://play.google.com/store/apps/details?id=com.daishin.push,대신(크레온) 푸시알림,daishin securities,  대신증권 사이보스 터치 및 크레온 모바일 푸시 수신을 위한 어플리케이션    ,"1. 푸시알림 서비스 소개 - 기존 SMS를 통해 제공되던 매매체결, 권리정보, 계좌정보 등의 내용을 더욱 보기 편하고, 바로 확인해 볼 수 있도록 푸시알림으로 전송하는 것을 의미합니다. - 대신증권 ‘푸시알림’ 앱은 고객님들께 스마트폰의 알림(푸시,PUSH)메시지를 통해 실시간 매매체결, 현재가, 금융정보 및 입출금내역을 수수료 부담없이 무료로 제공해 해드립니다.2. 서비스 대상- 대신증권/크레온의 계좌를 보유하고 있는 고객이 서비스 대상입니다. 3. 이용 수수료- 푸시알림 서비스는 이용 수수료가 없습니다. 4. 푸시알림의 장점- 푸시알림 메시지를 수신할 경우, 당사를 사칭한 SMS 스미싱 사기를 사전에 방지할 수 있습니다. - 수신된 메시지를 푸시알림 보관함에서 관리/보관할 수 있습니다.- 수신된 메시지 내용을 자세히 볼 수 있는 화면으로 바로 이동이 가능합니다.5. 주요 서비스 안내- 푸시전용 서비스입출금 알림 서비스, 리서치 센터 모닝미팅, 공지사항/이벤트/홍보, 목표가설정(현재가, 희망매수가, 목표/손절가)  - SMS/푸시 대체가능 서비스: 계좌정보서비스 계좌정보서비스, 매매/권리정보서비스, 금융상품서비스, 해외파생서비스6. 유의사항- 푸시알림은 고객님의 수신위치, 통신사 및 서버 문제 등으로 메시지 발송 지연 또는 장애가 발생할 수 있습니다.- 설치가능 OS 버전 - 안드로이드 2.2 이상- 본 어플리케이션은 대신증권의 푸시알림 서비스를 수신하기 위한 것으로, 단독으로 실행되지 않습니다. 푸시알림은 대신증권 사이보스터치 및 크레온을 설치 후 이용하실 수 있습니다."
https://play.google.com/store/apps/details?id=com.comet.pushalarmy,"PushAlarmy (푸시 메모, 알람 매니저)",꼬리별길,"  즉시, 혹은 예약한 시간에 맞춰서 원하는 내용으로 푸시 메시지를 받을 수 있습니다!    ","간단히 제목과 내용을 입력하고 전송 버튼을 누르면 즉시 푸시 메시지를 받을 수 있습니다!이는 메모기능으로 사용되어질 수도 있을 것입니다.날짜와 시간을 선택한다면, 그 시간에 맞춰서 알람 푸시 메시지를 받을 수도 있습니다!하지만 1분 미만으로 약간의 오차가 발생할 수 있습니다.푸시 메시지는 빅텍스트 확장을 지원하여 많은 양의 텍스트를 사용할 수도 있습니다!푸시 상으로는 13줄까지의 텍스트까지 확인 가능하며 터치 시 전문을 확인할 수 있습니다.받았거나 받을 예정인 모든 메시지는 목록으로 조회할 수 있습니다!만약 예약된 푸시 메세지를 목록에서 삭제하게 된다면 그 메세지는 날아오지 않을 것입니다!데이터를 삭제하면 저장된 데이터가 삭제되어 목록이 사라집니다.Android 5.0 (LOLLIPOP) 이상에서 원활히 구동되어집니다!비정상적인 작동, 오류 현상, 불편함 등은 리뷰로 남겨주시면 최대한 빠르게 조치될 수 있을 것입니다!버튼 설명 :조회 버튼 : 지난 메세지 목록을 조회할 수 있으며 상세보기와 목록 삭제가 가능합니다.전송 버튼 : 작성한 내용의 푸시를 즉시 받게 됩니다.예약 / 입력 버튼 : 텍스트 입력과 예약 시간을 선택하는 화면을 번갈아가며 보여줍니다.예약하기 버튼 : 선택한 날짜, 시간으로 푸시를 등록해놓습니다. 목록에서 삭제하면 날아오지 않습니다."
https://play.google.com/store/apps/details?id=com.coinpushapp,Coinpush - 비트코인 푸시알림,SimpleBlack,"  비트코인, 이더리움 등 코인 거래소 거래가의 푸시 알림을 보내주는 앱    ","*다양한 거래소Poloniex, Bitfinex, Coinone, Bithumb, korbit 등지속 적인 거래소 추가*보고싶은 코인만 골라보기다양한 거래소에서 보고싶은 코인들만 골라서 편하게 현재가를 조회해보세요.*푸시알람24시간 언제나 원하는 가격에 푸시알림!다양한 알림으로 푸시 알림을 받아보세요.*수익률 조회코인별 현재 수익률을 실시간으로 보여드립니다!"
https://play.google.com/store/apps/details?id=com.trend21c.pushqueue,푸시큐 - 단체 푸시 알림,always Inc.,  많은 사람에게 한꺼번에 푸시알림을 보내는 가장 쉬운 방법    ,"※ 많은 사람에게 한꺼번에 푸시알림을 보내는 가장 쉬운 방법 많은 사람들에게 한꺼번에 특정한 정보를 알리고 싶다면 푸시큐를 사용해보세요. 1. 푸시큐를 설치한다. 2. 푸시 그룹을 개설한다. 3. 그룹개설시 만든 그룹코드를 주변에 알린다. 4. 푸시알림을 쏜다. ※ 빠른 알림을 받는 아주 좋은 방법 중요한 정보 놓치지 마세요. 푸시큐를 이용해서 빠르게 알림으로 받아볼수 있습니다. 1. 푸시큐를 설치한다. 2. 푸시알림을 받을 그룹코드를 입력한다. → 가전제품, IT기기, 화장품, 의류 등의 할인 정보는 물론 동호회, 소모임의 공지사항 전달 등 활용하기 나름이예요! API문서 : http://push.doday.net/api/docs웹발송기 : http://push.doday.net/api/send_form아래와 같이 형태의 링크를 걸어서 활용할수 있습니다pushqueue://sub?code=그룹코드검색어 : 푸시,푸시알림,알림,노티,공지,공지사항,알람,뉴스,소식,정보,할인,긴급,속보----개발자 연락처 :서울"
https://play.google.com/store/apps/details?id=com.firstrowria.pushnotificationtester,Push Notification Tester,Bernd Bindreiter,  이 응용 프로그램은 푸시 알림이 제대로 작동 여부를 테스트 할 수 있습니다    ,"*** ATTENTION ATTENTION ATTENTION ***Do not install if you don't get the purpose of this App. Do not leave a 1 star review if push notifications are not working for you and do not write me mails asking if I can fix the App or even your device because I can't.This App let's you test Push Notifications via Firebase Cloud Messaging (https://firebase.google.com/docs/cloud-messaging/) on your device. Can be helpful if notifications are not working in an App on your device.What you need is:-Latest Google Play App and Play Services installed-Google Account set up in Google Play-Working and active network connectionThis App is open source, find it on GitHub: https://github.com/bbindreiter/PushNotificationTester_App"
https://play.google.com/store/apps/details?id=com.hundred215.notiEDA,"방해금지 모드, 집중 모드, 알림 관리 (카톡차단, 알림차단, 푸쉬차단, 노티차단)",hundred215,"  수시로 오는 귀찮은 푸쉬 알림 차단, 스팸차단, 알림 차단을 빠르고 쉽게 할수 있는 앱입니다.    ","제품명(Product Name) : 알림EDA(NotiEDA)◆ 알림EDA(알림이다)는 여러분들이 불필요하게 여겨지는 알림들을 깨끗하게 정리합니다.▶▶ 주요 기능 ◀◀● 알림EDA는 알림바(Notification)에 귀찮은 알림을 차단하고 사용자가 설정한 앱과 키워드들에 대해서 차단합니다.● 앱별로 발생된 알림 건수를 확인할 수 있어 쉽게 차단하기 쉽습니다.● 한달간 발생된 알림을 그래프를 통해 한눈에 볼 수 있어 어떠한 앱들을 차단해야할 지 쉽게 선택할 수 있습니다.● 잠금화면 및 알림 바에 노출되었던 스팸 광고 및 메시지 등 귀찮게 하는 알림을 차단하세요.● 무분별하게 오는 스팸 알림을 차단하고 지워도 끝없이 쌓이는 알림 바를 정리해 보세요.● 관심 키워드를 설정하여 필요한 알림은 모아서 볼 수 있습니다. ● 관심 있는 정보를 놓치지 마세요.● 버튼 하나로 모든 알림을 차단하며, 회의나 모임이 있는 경우 프라이버시 모드를 이용해 보세요."
https://play.google.com/store/apps/details?id=com.maucer.pna,푸시 알림 지원,"North Shore Design, Inc.",  유휴 데이터 연결을 수정 하고 순간 푸시 알림 을 다시 가져와!    ,"설명 :이 응용 프로그램이 유휴가는 휴대 전화의 데이터 스트림을 방지하기 위해 만들어졌습니다. 특정 사업자가 데이터 연결을 사용하지 않을 때 완전히 유휴 이동 될 수 있습니다 자신의 액세스 포인트에 설정 매우 엄격한 시간 제한을 가지고있다. 이것은 당신의 데이터 요금제를 사용하는 무능력을 극단적으로 지연 알림을 일으킬 수 있습니다.해결 방법 :이 응용 프로그램이 시작되면 살아 연결을 유지하기 위해 Google 클라우드 메시징 서비스 하트 비트를 대략 매 간격을 방송하기 시작합니다. 당신의 연결이 이미 유휴 간 경우, 그것을 다시 활성화하기위한 요청을 할 것입니다. 심지어 배경 서비스로 연속적으로 실행하는 동안 최소 간격 설정에서,이 애플리케이션은 거의 배터리 소모가 없으며, 데이터의 매우 작은 량을 사용한다.무료 평가판 : 이 응용 프로그램 의 무료 평가판 버전은 당신이 당신의 필요 를 해결할 수 있는지 여부를 확인하기 위한 테스트 역할을 하기위한 것입니다. 작업 의 약 시간 후 , 응용 프로그램이 중지됩니다 , 당신은 그것을 계속 사용하려면 수동으로 다시 시작 해야합니다.이 응용 프로그램 은 당신을 위해 일하는 경우 사용이 중단없이 계속 할 수 있도록 전체 버전 으로 업그레이드 고려 하고 당신에게 당신의 장치 가 켜질 때 자동으로 프로그램을 시작할 수있는 기능을 제공 하시기 바랍니다.당신이 번역 에 도움 에 관심이 있다면 저에게 연락 주시기 바랍니다 .고맙습니다."
